,Central Bank Balance Sheet Size,GRDI,Bloomberg Commodity Index,Gold,Bitcoin,Bloomberg Dollar Index,Citi Dollar Positioning,Bitcoin - Story Count,Inflation - Story Count,VIX Index,MOVE Index,CVIX Index,US 2 Year,US 2s10s,Sector Rotation ,Citi Inflation Surprise,Citi EM Inflation Surprise,GBI Weighted CPI,Conference Board Inflation Expectations ,US BUDGET BALANCE,US CPI,bitcoin: (Worldwide),inflation: (Worldwide)
2021-02-27,,,,,46864.06,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-26,35587.9688,113.313,85.2778,1734.04,45672.06,1135.36,-14.56,4615.0,3585.0,28.73,75.66,7.52,0.127,127.209,1.0633,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-25,35687.5117,114.041,87.1179,1770.56,48083.51,1127.87,-16.33,5310.0,3760.0,21.73,74.16,7.0,0.172,134.198,1.0531,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-24,35702.6563,119.915,87.5827,1805.06,48758.53,1120.74,-17.53,5900.0,3952.0,23.76,61.92,6.85,0.123,124.867,1.0733,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-23,35698.207,118.636,86.6185,1805.73,47962.92,1122.74,-19.85,7362.0,4089.0,22.82,61.73,6.72,0.1108,122.667,1.0602,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-22,35714.125,118.579,86.6999,1809.67,54938.64,1123.74,-19.55,7333.0,3145.0,24.46,62.42,6.59,0.1109,124.868,1.06,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-21,,,,,57355.29,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-20,35663.3633,,,,56537.03,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-19,35648.4961,120.515,85.3002,1784.25,55629.08,1124.92,-25.42,7796.0,2733.0,23.1,60.43,6.46,0.1048,122.547,1.0644,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-18,35587.8242,121.172,85.2395,1775.67,52037.53,1126.68,-22.76,5772.0,3150.0,21.98,56.12,6.5,0.1049,118.668,1.0481,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-17,35538.1641,121.049,85.2003,1776.13,52400.42,1129.45,-27.01,7025.0,3975.0,22.02,55.97,6.64,0.1029,116.335,1.0495,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-16,35460.3672,121.038,85.0496,1794.47,48585.51,1126.01,-28.44,6816.0,1932.0,21.13,56.78,6.41,0.119,119.11,1.0555,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-15,35518.6172,123.848,,1818.86,48203.45,1122.38,,,,,,6.31,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-14,,,,,48865.24,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-13,,,,,47177.95,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-12,35540.5156,124.112,84.0621,1824.23,47947.17,1123.75,-32.65,6181.0,2370.0,21.6,47.01,6.34,0.109,109.52,1.0466,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-11,35511.2383,123.697,83.4745,1825.51,46931.97,1123.16,-33.68,7061.0,2565.0,22.09,45.95,6.37,0.1091,105.21,1.0443,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-10,35513.1484,122.696,83.5314,1842.89,45039.51,1124.3,-37.5,6544.0,4367.0,21.64,46.27,6.31,0.1071,101.335,1.0401,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-09,35471.9883,122.659,83.7736,1838.32,47335.77,1124.87,-36.78,8379.0,2202.0,21.57,46.75,6.31,0.1151,103.773,1.0432,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-08,35382.0547,122.342,83.5421,1830.81,44691.74,1129.95,-35.48,10120.0,2208.0,21.89,48.45,6.28,0.1111,105.737,1.0465,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-07,,,,,38590.04,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-06,,,,,40093.11,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-05,35369.0,122.625,82.4711,1814.11,37858.84,1131.13,-35.78,4261.0,2075.0,21.99,47.2,6.56,0.1013,105.631,1.0368,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-04,35259.8867,121.658,81.9778,1794.03,37681.13,1137.83,-35.8,3587.0,1409.0,23.44,47.25,6.55,0.1112,102.406,1.0378,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-03,35343.168,120.949,81.8088,1834.04,37294.95,1132.98,-37.81,3529.0,2086.0,24.59,46.93,6.66,0.1171,101.833,1.0306,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-02,35346.3398,119.438,81.2652,1838.03,35687.9,1132.67,-46.72,3870.0,1512.0,28.01,45.91,6.74,0.1132,98.109,1.0256,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-02-01,35360.8125,116.979,81.5962,1860.78,33664.82,1133.81,-47.17,4246.0,1329.0,31.45,46.28,6.75,0.1073,96.396,1.0149,21.55,-2.61,4.0754,6.0,-15.28,1.4,65,65
2021-01-31,35430.4141,,,,32601.26,,,,,,,,,,,21.55,-2.61,4.0754,6.0,-15.28,1.4,62,55
2021-01-30,,,,,34694.89,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-29,35349.6523,115.718,80.0981,1847.65,34641.09,1129.9,-48.74,6446.0,1569.0,35.16,47.41,6.69,0.1093,95.222,0.998,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-28,35299.2539,117.291,79.9919,1843.17,33248.02,1127.16,-42.12,4875.0,1948.0,33.25,45.53,6.81,0.1172,92.554,1.0094,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-27,35299.9258,115.686,80.4518,1843.98,31005.85,1128.79,-45.91,4077.0,2627.0,23.82,44.16,6.58,0.1191,89.5,1.012,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-26,35376.2031,122.33,80.4799,1850.92,32017.04,1121.56,-47.13,3560.0,1503.0,23.91,43.14,6.59,0.1211,91.162,1.0095,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-25,35352.9766,122.069,79.9765,1855.93,32701.29,1124.93,-46.21,3627.0,1332.0,22.31,43.08,6.57,0.1149,91.063,1.0125,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-24,,,,,31932.47,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-23,,,,,32366.47,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-22,35373.5,122.848,79.1128,1855.61,33322.33,1122.76,-47.66,4466.0,1683.0,22.24,43.09,6.72,0.1209,96.052,1.0206,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-21,35368.7617,123.507,80.2898,1870.02,31217.0,1118.87,-47.84,4644.0,2381.0,21.34,43.01,6.72,0.1189,97.877,1.0219,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-20,35325.457,123.351,80.3019,1871.84,34913.07,1121.46,-49.71,3504.0,2277.0,22.82,42.53,6.6,0.127,95.116,1.016,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-19,35237.1836,121.093,80.0501,1840.28,36489.64,1123.73,-49.8,4463.0,1425.0,23.03,45.23,6.76,0.131,95.559,1.0067,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-18,35214.3672,120.317,,1841.26,36234.13,1125.87,,,,,,6.96,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-17,,,,,36533.95,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-16,,,,,35935.02,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-15,35207.4609,120.393,80.4577,1828.45,36261.52,1126.25,-46.74,3702.0,2298.0,23.52,45.14,6.81,0.133,94.643,1.0001,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-14,35218.8945,121.131,81.2161,1846.53,38765.5,1119.7,-48.99,4244.0,2656.0,22.22,46.23,6.82,0.139,98.621,1.0146,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-13,35214.4375,121.401,80.6141,1845.51,37283.48,1122.9,-53.67,4567.0,2790.0,23.07,45.6,6.88,0.143,93.625,1.0129,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-12,35258.6563,119.131,80.6256,1854.77,34712.73,1120.2,-47.55,4377.0,2539.0,23.49,50.12,6.94,0.1449,98.214,1.0178,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-11,35187.1406,119.573,79.4886,1843.89,33964.38,1127.05,-52.15,5994.0,2073.0,23.31,47.77,7.09,0.1449,99.717,1.0039,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-10,35254.6406,,,,38048.82,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
2021-01-09,,,,,40858.59,,,,,,,,,,,19.79,-9.5,3.9223,6.0,-15.28,1.4,62,55
